Year,Area of spending sub-category,Observation status,Unit multiplier,Units,SERIES,Value
2009,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.741923897
2010,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.79245748
2011,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.684266168
2012,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.535102716
2013,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.443975988
2014,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.380697545
2015,Pre-primary and primary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.350638019
2000,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.939488029
2001,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.037776477
2002,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.167282516
2003,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.153260761
2004,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.244673397
2005,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.322576103
2006,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.471414719
2007,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.506496935
2008,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.619182537
2009,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.822116598
2010,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.914379792
2011,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.923694178
2012,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",1.987706413
2013,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",2.104034622
2014,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",2.31499845
2015,Secondary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",2.197394343
2000,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.390137392
2001,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.44338995
2002,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.476152366
2003,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.47757615
2004,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.498656776
2005,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.62301002
2006,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.55251579
2007,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.575014466
2008,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.519890054
2009,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.604428618
2010,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.657899369
2011,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.601866497
2012,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.609892314
2013,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.536032389
2014,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.480101266
2015,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.453054078
2000,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.396905152
2001,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.417257209
2002,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.452533439
2003,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.465359671
2004,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.495580927
2005,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.538159886
2006,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.524036796
2007,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.552596527
2008,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.651320363
2009,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.73384675
2010,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.719916638
2011,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.589663766
2012,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.624709358
2013,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.491023314
2014,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.47240664
2015,Tertiary education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.342504012
2000,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.289988228
2001,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.310526295
2002,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.377122043
2003,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.406733169
2004,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.417392824
2005,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.402709953
2006,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.460090096
2007,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.48591169
2008,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.507884675
2009,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.486287585
2010,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.45506711
2011,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.425476297
2012,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.367120752
2013,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.322267206
2014,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.314395885
2015,Education not definable by level,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.31481355
2000,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.01476602
2001,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.014266343
2002,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.026091432
2003,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.027707477
2004,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.026206241
2005,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.032758596
2006,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.034069963
2007,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.02412489
2008,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.047163987
2009,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.072734303
2010,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.07756559
2011,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.053842386
2012,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.032768462
2013,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.028926427
2014,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.032620876
2015,Subsidiary services to education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.029967116
2000,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.004716923
2001,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.006866511
2002,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.006506592
2003,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.004470979
2004,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.004429224
2005,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.003997861
2006,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.004542662
2007,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.004210476
2008,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.001943728
2009,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.001432013
2010,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.000938767
2011,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.000578329
2012,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.000854829
2013,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.001061008
2014,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.001029563
2015,Research and development - education,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.063005066
2000,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.345087359
2001,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.330325846
2002,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.401456696
2003,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.431606927
2004,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.358828643
2005,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.285220563
2006,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.354094656
2007,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.364149276
2008,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.416014946
2009,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.402395518
2010,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.401733433
2011,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.380019675
2012,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.311385872
2013,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.294234259
2014,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.295972135
2015,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",0.320584602
2000,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,9.974104776
2001,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,10.41563058
2002,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,10.80992099
2003,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,11.39747069
2004,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,11.90969059
2005,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,12.11352017
2006,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,12.17322683
2007,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,12.56844157
2008,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,13.48158261
2009,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,15.42528087
2010,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,15.79521745
2011,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,15.93404973
2012,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,16.53696055
2013,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,16.45439062
2014,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,16.31639866
2015,,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,16.28903336
2000,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.641010707
2001,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.761693402
2002,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.799137616
2003,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.814398946
2004,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.852891945
2005,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.881620339
2006,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.828479577
2007,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.863477022
2008,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.046230997
2009,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.285312981
2010,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.278503888
2011,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.203547352
2012,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.400646023
2013,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.469412257
2014,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.510073457
2015,Sickness and disability,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.626728867
2000,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,4.850569244
2001,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,5.131883677
2002,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,5.310419721
2003,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,5.480853818
2004,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,5.707546967
2005,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,5.921310153
2006,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,5.993983885
2007,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,6.257734616
2008,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,6.735703309
2009,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,7.570393857
2010,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,7.816053378
2011,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,8.042988316
2012,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,8.56926626
2013,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,8.749127461
2014,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,8.76591216
2015,Old age,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,8.751138989
2000,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.110745151
2001,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.119597289
2002,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.123690304
2003,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.117001119
2004,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.114052512
2005,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.09242817
2006,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.099123208
2007,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.103384255
2008,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.10416095
2009,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.159609729
2010,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.125618706
2011,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.073621221
2012,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.061319765
2013,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.062487784
2014,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.06182794
2015,Survivors,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.059987177
2000,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.227425421
2001,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.299970534
2002,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.397030262
2003,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.784172608
2004,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.086410465
2005,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.126683279
2006,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.227476697
2007,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.074854298
2008,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.983345682
2009,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.189487477
2010,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.131117531
2011,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,2.07053179
2012,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.823465182
2013,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.610721765
2014,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.563580363
2015,Family and children,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.471406554
2000,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.296004014
2001,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.219795018
2002,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.247315543
2003,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.265362064
2004,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.246375572
2005,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.252163619
2006,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.270346611
2007,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.260708122
2008,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.281440371
2009,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.411166595
2010,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.39563145
2011,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.336182372
2012,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.338341494
2013,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.279826888
2014,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.220543132
2015,Unemployment,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.151159214
2000,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.858411641
2001,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.810314966
2002,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.849110191
2003,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.81560737
2004,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.824758377
2005,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.849873739
2006,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.879703912
2007,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.909405919
2008,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.986899274
2009,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.186422373
2010,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.281475084
2011,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.325355484
2012,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.363566941
2013,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.362222532
2014,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.328948481
2015,Housing,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.295998331
2000,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.759698062
2001,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.766582624
2002,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.765305293
2003,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.769890033
2004,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.747123927
2005,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.683693976
2006,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.625140138
2007,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.894384761
2008,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.147485502
2009,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.408443981
2010,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.526023784
2011,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.590287782
2012,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.651587475
2013,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.652156917
2014,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.592787427
2015,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,1.613353262
2000,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.000615251
2001,Research and development - social protection,Undefined,Units,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,0.002133285
